country_code,country,year,slum_pct,urban_pop,slum_population,start_year,end_year,slum_change_total,urban_growth_total,slum_population_change_total
BEL,Belgium,2020,0.0,10072797.0,0.0,2000,2022,0.0,21.544024095373835,0.0
BEL,Belgium,2022,0.0,10218922.0,0.0,2000,2022,0.0,21.544024095373835,0.0
BLZ,Belize,2000,15.8,114822.0,18141.876,2000,2022,-0.07467000000000112,47.79484767727439,8544.166263299998
BLZ,Belize,2002,15.76133,121570.0,19161.048881,2000,2022,-0.07467000000000112,47.79484767727439,8544.166263299998
BLZ,Belize,2004,15.75733,127755.0,20130.7769415,2000,2022,-0.07467000000000112,47.79484767727439,8544.166263299998
BLZ,Belize,2006,15.75333,133600.0,21046.44888,2000,2022,-0.07467000000000112,47.79484767727439,8544.166263299998
BLZ,Belize,2008,15.74933,139275.0,21934.8793575,2000,2022,-0.07467000000000112,47.79484767727439,8544.166263299998
BLZ,Belize,2010,15.74533,144723.0,22787.113935899997,2000,2022,-0.07467000000000112,47.79484767727439,8544.166263299998
BLZ,Belize,2012,15.74133,149451.0,23525.5750983,2000,2022,-0.07467000000000112,47.79484767727439,8544.166263299998
BLZ,Belize,2014,15.73733,154172.0,24262.556407599997,2000,2022,-0.07467000000000112,47.79484767727439,8544.166263299998
BLZ,Belize,2016,15.73333,159291.0,25061.7786903,2000,2022,-0.07467000000000112,47.79484767727439,8544.166263299998
BLZ,Belize,2018,15.72933,164124.0,25815.6055692,2000,2022,-0.07467000000000112,47.79484767727439,8544.166263299998
BLZ,Belize,2020,15.72533,166681.0,26211.137297299996,2000,2022,-0.07467000000000112,47.79484767727439,8544.166263299998
BLZ,Belize,2022,15.72533,169701.0,26686.042263299998,2000,2022,-0.07467000000000112,47.79484767727439,8544.166263299998
BEN,Benin,2000,71.86569,2764143.0,1986470.4395367,2000,2022,-7.855050000000006,153.6848853333565,2502091.9799264995
BEN,Benin,2002,71.47241,2993685.0,2139658.8173085,2000,2022,-7.855050000000006,153.6848853333565,2502091.9799264995
BEN,Benin,2004,71.07914,3251609.0,2311215.7133625997,2000,2022,-7.855050000000006,153.6848853333565,2502091.9799264995
BEN,Benin,2006,70.68586,3545780.0,2506365.086708,2000,2022,-7.855050000000006,153.6848853333565,2502091.9799264995
BEN,Benin,2008,70.29258,3857773.0,2711728.1722434,2000,2022,-7.855050000000006,153.6848853333565,2502091.9799264995
BEN,Benin,2010,69.89931,4202306.0,2937382.8980886,2000,2022,-7.855050000000006,153.6848853333565,2502091.9799264995
BEN,Benin,2012,69.50603,4579909.0,3183312.9235127,2000,2022,-7.855050000000006,153.6848853333565,2502091.9799264995
BEN,Benin,2014,69.11276,4995274.0,3452371.7309624,2000,2022,-7.855050000000006,153.6848853333565,2502091.9799264995
BEN,Benin,2016,68.71948,5452301.0,3746792.8952348,2000,2022,-7.855050000000006,153.6848853333565,2502091.9799264995
BEN,Benin,2018,68.3262,5943422.0,4060914.4025640003,2000,2022,-7.855050000000006,153.6848853333565,2502091.9799264995
BEN,Benin,2020,67.93293,6462696.0,4390298.7497928,2000,2022,-7.855050000000006,153.6848853333565,2502091.9799264995
BEN,Benin,2022,64.01064,7012213.0,4488562.4194632,2000,2022,-7.855050000000006,153.6848853333565,2502091.9799264995
BMU,Bermuda,2000,0.01336,61550.0,8.22308,2000,2022,0.06425,5.19740048740861,42.0286189
